,userid,itemid,rating,timestamp
163471,A10044ECXDUVKS,B000NJ2TIE,4.0,1345161600
245040,A10044ECXDUVKS,B001P7QSE4,2.0,1345161600
273906,A10044ECXDUVKS,B002GYWBIM,5.0,1345161600
344857,A10044ECXDUVKS,B00466HM28,1.0,1345161600
367221,A10044ECXDUVKS,B004TGVRDA,2.0,1345161600
379007,A10044ECXDUVKS,B0054QM76K,5.0,1345161600
234490,A10044ECXDUVKS,B001JJFR8Q,1.0,1348272000
359747,A10044ECXDUVKS,B004MNAXT4,4.0,1353628800
398242,A10044ECXDUVKS,B005P9BRXK,5.0,1353628800
53607,A10044ECXDUVKS,B0002E4Y8S,5.0,1357689600
76815,A10044ECXDUVKS,B0002GYX5K,5.0,1357689600
308050,A10044ECXDUVKS,B003B1PETC,5.0,1357689600
379796,A10044ECXDUVKS,B0055E87UG,5.0,1357689600
392007,A10044ECXDUVKS,B005J3S276,4.0,1357689600
436785,A10044ECXDUVKS,B008J4P97S,4.0,1357689600
13116,A10044ECXDUVKS,B000068NUT,5.0,1363651200
88027,A10044ECXDUVKS,B0002M6CVC,5.0,1363651200
215586,A10044ECXDUVKS,B0019FYE34,5.0,1363651200
275939,A10044ECXDUVKS,B002IC1D4U,3.0,1363651200
449123,A10044ECXDUVKS,B009RK9VPY,1.0,1363651200
120550,A10044ECXDUVKS,B000B6FBA2,5.0,1363824000
294496,A10044ECXDUVKS,B00302HH5G,5.0,1364688000
150356,A100BB8D2BVA20,B000I4T7R0,3.0,1221091200
46660,A100BB8D2BVA20,B0002E1UB2,5.0,1230249600
266566,A100BB8D2BVA20,B0029BS3GG,1.0,1275523200
209035,A100BB8D2BVA20,B0017HX336,5.0,1294099200
134753,A100BB8D2BVA20,B000EEJA7Q,4.0,1350000000
222787,A100BB8D2BVA20,B001D81R9Q,5.0,1357344000
438051,A100BB8D2BVA20,B008PBTS9A,4.0,1357344000
438079,A100BB8D2BVA20,B008PBTWZU,4.0,1357344000
447381,A100BB8D2BVA20,B009JA1XDU,5.0,1358121600
322708,A100BB8D2BVA20,B003NVJUS6,5.0,1359504000
271975,A100BB8D2BVA20,B002EEP7YY,5.0,1366588800
126833,A100BB8D2BVA20,B000BZG0C6,2.0,1403049600
206524,A1031R8HD3E4GL,B00166GG78,1.0,1238457600
477716,A1031R8HD3E4GL,B00DANKSZG,3.0,1377216000
441275,A1031R8HD3E4GL,B0092KJDI4,1.0,1380499200
472040,A1031R8HD3E4GL,B00CFKLBQA,5.0,1380931200
452215,A1031R8HD3E4GL,B00A8F8SEW,4.0,1382400000
335922,A1031R8HD3E4GL,B003YISL4C,5.0,1387584000
335917,A1031R8HD3E4GL,B003YIGL9E,1.0,1388361600
489471,A1031R8HD3E4GL,B00FN9D7MQ,1.0,1395792000
478742,A1031R8HD3E4GL,B00DJ4LHF6,5.0,1396656000
492452,A1031R8HD3E4GL,B00GGGIOGO,1.0,1397779200
21783,A1031R8HD3E4GL,B0000WS0RI,5.0,1399075200
498361,A1031R8HD3E4GL,B00IOSJ68C,5.0,1399075200
423082,A1031R8HD3E4GL,B007KFYQQW,3.0,1403222400
341231,A103ZG6ASSR7UT,B0042UD51A,5.0,1291766400
351012,A103ZG6ASSR7UT,B004DIPLOK,5.0,1296518400
352054,A103ZG6ASSR7UT,B004FFBMCG,5.0,1299110400
352062,A103ZG6ASSR7UT,B004FFBMGM,3.0,1299110400
366198,A103ZG6ASSR7UT,B004SRTKOI,5.0,1307577600
410462,A103ZG6ASSR7UT,B006O8K3Z4,4.0,1331164800
423847,A103ZG6ASSR7UT,B007N0SWGY,5.0,1336953600
426757,A103ZG6ASSR7UT,B007VCN1X8,5.0,1338768000
423178,A103ZG6ASSR7UT,B007KY4USW,5.0,1341446400
471992,A103ZG6ASSR7UT,B00CFEFM8E,5.0,1390953600
158714,A1047NOJFS75Z0,B000LBFJUO,3.0,1255824000
261967,A1047NOJFS75Z0,B0023C9N4C,1.0,1282348800
297884,A1047NOJFS75Z0,B0034PH2D6,3.0,1291248000
263969,A1047NOJFS75Z0,B0026P4120,5.0,1291593600
175513,A1047NOJFS75Z0,B000S5Q2EK,1.0,1297036800
77808,A1047NOJFS75Z0,B0002GZOQC,3.0,1310428800
114308,A1047NOJFS75Z0,B0009RK7YS,1.0,1332979200
359527,A1047NOJFS75Z0,B004MKMAB6,5.0,1351036800
127836,A1047NOJFS75Z0,B000CCN15M,1.0,1351987200
32653,A1047NOJFS75Z0,B0002D01K4,1.0,1352678400
127890,A1047NOJFS75Z0,B000CCSWPQ,5.0,1352678400
301213,A1047NOJFS75Z0,B0037M4CPM,5.0,1352678400
327265,A1047NOJFS75Z0,B003UNKLRQ,2.0,1353888000
203193,A104VALKZUUS5E,B0013O754Q,5.0,1363824000
415969,A104VALKZUUS5E,B0074NN8AU,5.0,1364169600
12861,A104VALKZUUS5E,B000068NSX,1.0,1383609600
143526,A104VALKZUUS5E,B000FP94Z2,3.0,1383609600
166897,A104VALKZUUS5E,B000P3WCPS,4.0,1383609600
276243,A104VALKZUUS5E,B002IJ00YC,4.0,1383609600
297984,A104VALKZUUS5E,B00352MHGK,5.0,1383609600
308109,A104VALKZUUS5E,B003B1RGQQ,4.0,1383609600
403757,A104VALKZUUS5E,B00622MWHY,5.0,1383609600
219310,A104VALKZUUS5E,B001B850DM,5.0,1392681600
270882,A104VALKZUUS5E,B002CVUNMA,5.0,1392681600
353481,A10APIDAZISWQF,B004GTJHBY,5.0,1362873600
375043,A10APIDAZISWQF,B00504BLLI,5.0,1362873600
233634,A10APIDAZISWQF,B001J1SX94,5.0,1365033600
344040,A10APIDAZISWQF,B0045ICFM4,3.0,1365033600
75211,A10APIDAZISWQF,B0002GX6V2,3.0,1392595200
161491,A10APIDAZISWQF,B000MO2QJM,5.0,1392595200
161833,A10APIDAZISWQF,B000MWWT6E,5.0,1392595200
208013,A10APIDAZISWQF,B0017002U0,5.0,1392595200
483946,A10APIDAZISWQF,B00EJ3HSD6,5.0,1392595200
276172,A10APIDAZISWQF,B002IGT0VY,5.0,1392854400
367684,A10APIDAZISWQF,B004TQJ174,5.0,1393372800
206821,A10APIDAZISWQF,B0016BFBO2,2.0,1394755200
305740,A10APIDAZISWQF,B003AYEAHC,4.0,1394755200
327700,A10APIDAZISWQF,B003V0LGAO,5.0,1394755200
394550,A10APIDAZISWQF,B005M35BSQ,5.0,1395187200
34084,A10APIDAZISWQF,B0002D06DG,5.0,1397692800
431844,A10APIDAZISWQF,B00872JV2G,3.0,1397692800
175037,A10B2J2IRQXBWA,B000RY68PA,5.0,1378771200
187611,A10B2J2IRQXBWA,B000VJJQUU,4.0,1378771200
198617,A10B2J2IRQXBWA,B0010K8IM6,4.0,1378771200
265755,A10B2J2IRQXBWA,B0027V760M,4.0,1378771200
365535,A10B2J2IRQXBWA,B004RV30N2,5.0,1378771200
393247,A10B2J2IRQXBWA,B005L9Z0AK,4.0,1378771200
174689,A10B2J2IRQXBWA,B000RWJQRE,5.0,1380326400
163683,A10B2J2IRQXBWA,B000NJ2TIE,5.0,1384214400
419312,A10B2J2IRQXBWA,B007E69TPA,5.0,1384214400
453139,A10B2J2IRQXBWA,B00AEYW474,5.0,1384214400
247904,A10BLHUDQJ2H5K,B001QCXRVK,5.0,1277078400
22496,A10BLHUDQJ2H5K,B000189O12,4.0,1277337600
302320,A10BLHUDQJ2H5K,B0038N6QFE,2.0,1277424000
302324,A10BLHUDQJ2H5K,B0038N8ORM,5.0,1277424000
235870,A10BLHUDQJ2H5K,B001KUSSQ2,3.0,1278288000
22444,A10BLHUDQJ2H5K,B000189NWC,4.0,1282694400
90168,A10BLHUDQJ2H5K,B0002OB82S,2.0,1282694400
129586,A10BLHUDQJ2H5K,B000CSRKTE,5.0,1282694400
224703,A10BLHUDQJ2H5K,B001EBISR6,4.0,1282694400
38759,A10BLHUDQJ2H5K,B0002D0JZQ,5.0,1361491200
28601,A10C5CJK1YKGV0,B0002CZUHY,5.0,1280880000
235250,A10C5CJK1YKGV0,B001JVPBDK,5.0,1280880000
311633,A10C5CJK1YKGV0,B003ELOQCA,1.0,1281312000
37077,A10C5CJK1YKGV0,B0002D0CWQ,5.0,1292976000
243133,A10C5CJK1YKGV0,B001NPS6V6,5.0,1328054400
276011,A10C5CJK1YKGV0,B002IC1D5E,5.0,1349827200
249673,A10C5CJK1YKGV0,B001R2KZ6Y,5.0,1353283200
434341,A10C5CJK1YKGV0,B008BPI2HE,5.0,1362700800
455380,A10C5CJK1YKGV0,B00AQBT3EW,5.0,1398556800
414463,A10C5CJK1YKGV0,B0072BBBGW,4.0,1398643200
461457,A10C5CJK1YKGV0,B00BAYPXS4,5.0,1398643200
489601,A10C5CJK1YKGV0,B00FONJ1LM,5.0,1399075200
498881,A10C5CJK1YKGV0,B00IZCSW3M,5.0,1399161600
492037,A10C5CJK1YKGV0,B00G99BZ4Q,5.0,1405814400
65523,A10E3QH2FQUBLF,B0002F7ABA,5.0,1273708800
172458,A10E3QH2FQUBLF,B000RKL8R2,5.0,1273708800
234381,A10E3QH2FQUBLF,B001JIB2Q8,5.0,1273708800
393368,A10E3QH2FQUBLF,B005LLD3D4,4.0,1345334400
74167,A10E3QH2FQUBLF,B0002GTZR6,4.0,1364860800
113670,A10E3QH2FQUBLF,B0009K9MUA,5.0,1364860800
272365,A10E3QH2FQUBLF,B002EWV8IU,5.0,1374192000
299702,A10E3QH2FQUBLF,B0036B8A34,5.0,1374192000
156051,A10E3QH2FQUBLF,B000KIRT6A,4.0,1375920000
110135,A10E3QH2FQUBLF,B00092MVVK,4.0,1376697600
246634,A10E3QH2FQUBLF,B001PGXKC8,4.0,1382572800
431046,A10E3QH2FQUBLF,B0085FX6YY,5.0,1382572800
416969,A10FM4ILBIMJJ7,B0077CTYY2,5.0,1379462400
384705,A10FM4ILBIMJJ7,B005CX4GLE,5.0,1380412800
46201,A10FM4ILBIMJJ7,B0002E1OZY,4.0,1381795200
330733,A10FM4ILBIMJJ7,B003VWJ2K8,4.0,1381795200
398609,A10FM4ILBIMJJ7,B005PGGU9O,5.0,1381795200
415145,A10FM4ILBIMJJ7,B0073V9HCQ,4.0,1381795200
43759,A10FM4ILBIMJJ7,B0002E1G5C,5.0,1382140800
44096,A10FM4ILBIMJJ7,B0002E1I2I,4.0,1382140800
100292,A10FM4ILBIMJJ7,B0006NDF6C,4.0,1382140800
101141,A10FM4ILBIMJJ7,B0006NDF8A,5.0,1382140800
108220,A10FM4ILBIMJJ7,B0007WQZGY,4.0,1382140800
30948,A10HYGDU2NITYQ,B0002CZW0Y,1.0,1303171200
238307,A10HYGDU2NITYQ,B001LNN30E,5.0,1322265600
383222,A10HYGDU2NITYQ,B005CP07S8,5.0,1326844800
120114,A10HYGDU2NITYQ,B000B6DHB2,5.0,1327968000
395420,A10HYGDU2NITYQ,B005N2ANOS,5.0,1339027200
42205,A10HYGDU2NITYQ,B0002DV7ZM,5.0,1343952000
246214,A10HYGDU2NITYQ,B001PGXILG,5.0,1343952000
428347,A10HYGDU2NITYQ,B007YFWTXU,5.0,1355788800
269652,A10HYGDU2NITYQ,B002BXLZ7Q,2.0,1362268800
