userid,itemid,rating
A10044ECXDUVKS,B000NJ2TIE,4
A10044ECXDUVKS,B001P7QSE4,2
A10044ECXDUVKS,B002GYWBIM,5
A10044ECXDUVKS,B00466HM28,1
A10044ECXDUVKS,B004TGVRDA,2
A10044ECXDUVKS,B0054QM76K,5
A10044ECXDUVKS,B001JJFR8Q,1
A10044ECXDUVKS,B004MNAXT4,4
A10044ECXDUVKS,B005P9BRXK,5
A10044ECXDUVKS,B0002E4Y8S,5
A10044ECXDUVKS,B0002GYX5K,5
A10044ECXDUVKS,B003B1PETC,5
A10044ECXDUVKS,B0055E87UG,5
A10044ECXDUVKS,B005J3S276,4
A10044ECXDUVKS,B008J4P97S,4
A10044ECXDUVKS,B000068NUT,5
A10044ECXDUVKS,B0002M6CVC,5
A10044ECXDUVKS,B0019FYE34,5
A100BB8D2BVA20,B000I4T7R0,3
A100BB8D2BVA20,B0002E1UB2,5
A100BB8D2BVA20,B0029BS3GG,1
A100BB8D2BVA20,B0017HX336,5
A100BB8D2BVA20,B000EEJA7Q,4
A100BB8D2BVA20,B001D81R9Q,5
A100BB8D2BVA20,B008PBTS9A,4
A100BB8D2BVA20,B008PBTWZU,4
A100BB8D2BVA20,B009JA1XDU,5
A100BB8D2BVA20,B003NVJUS6,5
A1031R8HD3E4GL,B00166GG78,1
A1031R8HD3E4GL,B00DANKSZG,3
A1031R8HD3E4GL,B0092KJDI4,1
A1031R8HD3E4GL,B00CFKLBQA,5
A1031R8HD3E4GL,B00A8F8SEW,4
A1031R8HD3E4GL,B003YISL4C,5
A1031R8HD3E4GL,B003YIGL9E,1
A1031R8HD3E4GL,B00FN9D7MQ,1
A1031R8HD3E4GL,B00DJ4LHF6,5
A1031R8HD3E4GL,B00GGGIOGO,1
A1031R8HD3E4GL,B0000WS0RI,5
A103ZG6ASSR7UT,B0042UD51A,5
A103ZG6ASSR7UT,B004DIPLOK,5
A103ZG6ASSR7UT,B004FFBMCG,5
A103ZG6ASSR7UT,B004FFBMGM,3
A103ZG6ASSR7UT,B004SRTKOI,5
A103ZG6ASSR7UT,B006O8K3Z4,4
A103ZG6ASSR7UT,B007N0SWGY,5
A103ZG6ASSR7UT,B007VCN1X8,5
A1047NOJFS75Z0,B000LBFJUO,3
A1047NOJFS75Z0,B0023C9N4C,1
A1047NOJFS75Z0,B0034PH2D6,3
A1047NOJFS75Z0,B0026P4120,5
A1047NOJFS75Z0,B000S5Q2EK,1
A1047NOJFS75Z0,B0002GZOQC,3
A1047NOJFS75Z0,B0009RK7YS,1
A1047NOJFS75Z0,B004MKMAB6,5
A1047NOJFS75Z0,B000CCN15M,1
A1047NOJFS75Z0,B0002D01K4,1
A1047NOJFS75Z0,B000CCSWPQ,5
A104VALKZUUS5E,B0013O754Q,5
A104VALKZUUS5E,B0074NN8AU,5
A104VALKZUUS5E,B000068NSX,1
A104VALKZUUS5E,B000FP94Z2,3
A104VALKZUUS5E,B000P3WCPS,4
A104VALKZUUS5E,B002IJ00YC,4
A104VALKZUUS5E,B00352MHGK,5
A104VALKZUUS5E,B003B1RGQQ,4
A104VALKZUUS5E,B00622MWHY,5
A10APIDAZISWQF,B004GTJHBY,5
A10APIDAZISWQF,B00504BLLI,5
A10APIDAZISWQF,B001J1SX94,5
A10APIDAZISWQF,B0045ICFM4,3
A10APIDAZISWQF,B0002GX6V2,3
A10APIDAZISWQF,B000MO2QJM,5
A10APIDAZISWQF,B000MWWT6E,5
A10APIDAZISWQF,B0017002U0,5
A10APIDAZISWQF,B00EJ3HSD6,5
A10APIDAZISWQF,B002IGT0VY,5
A10APIDAZISWQF,B004TQJ174,5
A10APIDAZISWQF,B0016BFBO2,2
A10APIDAZISWQF,B003AYEAHC,4
